City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Komsomolskiy,UZ,40.4272,71.7189,39.2,28,0,2.3,clear sky
322,Portland,US,45.5234,-122.6762,44.6,76,75,10.36,broken clouds
323,Mnogovershinnyy,RU,53.9353,139.9242,-19.48,86,85,4.41,overcast clouds
324,Alofi,NU,-19.0595,-169.9187,80.6,83,40,6.91,scattered clouds
325,Mackay,AU,-21.15,149.2,80.6,78,90,19.57,light rain
326,Inuvik,CA,68.3499,-133.7218,-0.4,85,100,1.14,overcast clouds
327,Marquelia,MX,16.5833,-98.8167,74.17,78,100,4.0,overcast clouds
328,Makinsk,KZ,52.6292,70.4169,19.4,97,100,8.77,overcast clouds
329,Mizdah,LY,31.4451,12.9801,59.47,34,0,6.58,clear sky
330,Dunedin,NZ,-45.8742,170.5036,54.55,71,100,3.09,overcast clouds
331,Zeya,RU,53.75,127.2667,-13.77,85,0,2.98,clear sky
332,Tianpeng,CN,30.9866,103.9393,50.0,1,0,7.2,clear sky
333,Rosetta,EG,31.4044,30.4164,57.2,94,0,7.81,fog
334,Alexandria,EG,31.2156,29.9553,57.2,94,0,7.78,fog
335,Langxiang,CN,46.95,128.8833,5.43,90,100,2.8,overcast clouds
336,Boa Vista,BR,2.8197,-60.6733,73.4,94,75,3.44,broken clouds
337,Faridpur,BD,23.6,89.8333,75.2,78,1,3.44,mist
338,Luderitz,NA,-26.6481,15.1594,68.58,63,6,9.28,clear sky
339,Pitimbu,BR,-7.4706,-34.8086,78.8,83,75,4.61,broken clouds
340,Abalak,RU,58.1286,68.5944,-11.16,89,85,8.99,overcast clouds
341,Koungou,YT,-12.7336,45.2042,86.0,70,20,14.97,few clouds
342,Roald,NO,62.5833,6.1333,30.2,93,75,11.5,snow
343,Kiunga,PG,-6.1219,141.2906,87.49,69,100,4.05,light rain
344,Lebork,PL,54.5392,17.7501,34.0,93,90,11.5,overcast clouds
345,Svetlogorsk,BY,52.6333,29.7333,19.06,98,67,2.93,broken clouds
